,URLS,Text
79,https://i.pinimg.com/originals/2f/75/fb/2f75fb112263db9debaf0adc469c5df1.jpg,२wue360@0
80,https://i.pinimg.com/originals/e3/da/78/e3da785c1588c775f06111f61ec98c59.jpg,NA
81,https://i.pinimg.com/originals/bd/60/62/bd60625dd8c987c8aa758fb71df24164.jpg,NA
82,https://i.pinimg.com/originals/ec/47/70/ec47700e412418908805a1d2298ff133.jpg,NA
83,https://i.pinimg.com/originals/02/83/4f/02834f373145c465990e7af0467c3a9f.jpg,NA
84,https://i.pinimg.com/originals/1f/6e/e7/1f6ee73998e07bf65ccd002ef93273e9.jpg,NA
85,https://i.pinimg.com/originals/de/24/21/de24210e794eed4ec1e1e4526145e9a5.jpg,NA
86,https://i.pinimg.com/originals/32/35/a4/3235a493796e55823d4a48d7302c80eb.jpg,NA
87,https://i.pinimg.com/originals/89/d5/c5/89d5c53a5edc1e6caf7d915d86d1990f.jpg,NA
88,https://i.pinimg.com/originals/d1/ab/fc/d1abfcf7852d7e0ce9d9bb51b97a553f.jpg,NA
89,https://i.pinimg.com/originals/ec/ad/56/ecad562ba7d73e06f806a8a79bd3bbb0.jpg,NA
90,https://i.pinimg.com/originals/ec/ad/56/ecad562ba7d73e06f806a8a79bd3bbb0.jpg,NA
91,https://i.pinimg.com/originals/7e/51/9e/7e519ec4f0943dd8eeb661b1e90abff7.jpg,NA
92,https://i.pinimg.com/originals/83/65/6d/83656d81b3ba3a92c566947e3f000b2a.jpg,NA
93,https://i.pinimg.com/originals/4e/4f/08/4e4f08a67ff9786f42b26d1f464fa54a.jpg,NA
94,https://i.pinimg.com/originals/da/96/4b/da964bc5a38e42f81903b87a095b489a.jpg,NA
95,https://i.pinimg.com/originals/59/ff/40/59ff40960f85997847d4791db09b6c27.jpg,NA
96,https://i.pinimg.com/originals/7d/c2/a7/7dc2a7f3d8acb3a9842b9597a1e1d111.jpg,NA
97,https://i.pinimg.com/originals/83/81/bd/8381bd74956973934d92f790c2df9b65.jpg,NA
98,https://i.pinimg.com/originals/f0/95/17/f09517f445f2373d097e0acf4876bde9.jpg,NA
